number,title,link,source_id,published_at,state,transcript_source,discovered_at
45,LNP045 Ohrfeigen in der Hermann-Büttner-Straße,https://logbuch-netzpolitik.de/lnp045-ohrfeigen-in-der-hermann-buettner-strasse,160,2012-11-19T13:16:29+01:00,done,podlove,2026-06-14T00:32:53+00:00
46,LNP046 Bekennerschreiben der Regierung,https://logbuch-netzpolitik.de/lnp046-bekennerschreiben-der-regierung,154,2012-12-01T11:29:50+01:00,done,podlove,2026-06-14T00:32:53+00:00
47,LNP047 Fernmeldetechnische Internationale,https://logbuch-netzpolitik.de/lnp047-fernmeldetechnische-internationale,151,2012-12-07T14:08:13+01:00,done,podlove,2026-06-14T00:32:53+00:00
48,LNP048 Könnte Erfolg der Entscheidung vereiteln,https://logbuch-netzpolitik.de/lnp048-koennte-erfolg-der-entscheidung-vereiteln,275,2012-12-19T13:30:50+01:00,done,podlove,2026-06-14T00:32:53+00:00
49,LNP049 Berechtigtes Interesse,https://logbuch-netzpolitik.de/lnp049-berechtigtes-interesse,296,2013-01-11T13:14:54+01:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
50,LNP050 Spionage mit menschlichem Antlitz,https://logbuch-netzpolitik.de/lnp050-spionage-mit-menschlichem-antlitz,320,2013-01-21T10:18:44+01:00,done,podlove,2026-06-14T00:32:53+00:00
51,LNP051 Terrorismuswimpel,https://logbuch-netzpolitik.de/lnp051-terrorismuswimpel,328,2013-01-23T13:57:26+01:00,done,podlove,2026-06-14T00:32:53+00:00
52,LNP052 Es gibt noch Hoffnung,https://logbuch-netzpolitik.de/lnp052-es-gibt-noch-hoffnung,342,2013-02-01T13:01:05+01:00,done,podlove,2026-06-14T00:32:53+00:00
53,LNP053 Fühl den Keese in Dir,https://logbuch-netzpolitik.de/lnp053-fuehl-den-keese-in-dir,354,2013-02-06T13:52:12+01:00,done,podlove,2026-06-14T00:32:53+00:00
54,LNP054 30-Stunden-Woche für Blogs,https://logbuch-netzpolitik.de/lnp054-30-stunden-woche-fuer-blogs,365,2013-02-13T12:42:24+01:00,done,podlove,2026-06-14T00:32:53+00:00
55,Wichtiger Hinweis der Metaebene,https://logbuch-netzpolitik.de/podlove/file/8274/s/feed/c/mp3/zwischenruf-2021.mp3,1000539882875,2021-10-27T11:49:50Z,done,apple,2026-06-14T00:32:53+00:00
56,LNP056 Kleinste Textausschnitte,https://logbuch-netzpolitik.de/lnp056-kleinste-textausschnitte,405,2013-02-27T12:40:54+01:00,done,podlove,2026-06-14T00:32:53+00:00
57,LNP057 Es kann nur einen geben,https://logbuch-netzpolitik.de/lnp057-es-kann-nur-einen-geben,412,2013-03-06T12:39:54+01:00,done,podlove,2026-06-14T00:32:53+00:00
58,LNP058 Spy Cloud,https://logbuch-netzpolitik.de/lnp058-spy-cloud,427,2013-03-13T13:13:08+01:00,done,podlove,2026-06-14T00:32:53+00:00
59,LNP059 No Princess For You,https://logbuch-netzpolitik.de/lnp059-no-princess-for-you,440,2013-03-28T22:46:52+01:00,done,podlove,2026-06-14T00:32:53+00:00
60,LNP060 Näheres regelt ein Bundesgesetz,https://logbuch-netzpolitik.de/lnp060-naeheres-regelt-ein-bundesgesetz,466,2013-04-05T14:20:57+02:00,done,podlove,2026-06-14T00:32:53+00:00
61,LNP061 Skaliert nicht auf Bundesniveau,https://logbuch-netzpolitik.de/lnp061-skaliert-nicht-auf-bundesniveau,489,2013-04-18T13:30:05+02:00,done,podlove,2026-06-14T00:32:53+00:00
62,LNP062 Zerebrale Flatulenz,https://logbuch-netzpolitik.de/lnp062-zerebrale-flatulenz,509,2013-04-24T13:08:50+02:00,done,podlove,2026-06-14T00:32:53+00:00
63,LNP063 Here You Are All Equally Worthless,https://logbuch-netzpolitik.de/lnp063-here-you-are-all-equally-worthless,518,2013-05-03T12:14:55+02:00,done,podlove,2026-06-14T00:32:53+00:00
64,LNP064 Fehlschlaginduzierte Depression,https://logbuch-netzpolitik.de/lnp064,600,2013-05-12T13:06:36+02:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
65,LNP065 Ein Klavier! Ein Klavier!,https://logbuch-netzpolitik.de/lnp065-ein-klavier-ein-klavier,606,2013-05-21T14:45:40+02:00,done,podlove,2026-06-14T00:32:53+00:00
66,LNP066 Schattenberichterstattung,https://logbuch-netzpolitik.de/lnp066-schattenberichterstattung,644,2013-05-28T12:16:58+02:00,done,podlove,2026-06-14T00:32:53+00:00
67,LNP067 Schon lange nichts mehr auf NSA gepostet,https://logbuch-netzpolitik.de/lnp067-schon-lange-nichts-mehr-auf-nsa-gepostet,656,2013-06-11T16:01:41+02:00,done,podlove,2026-06-14T00:32:53+00:00
68,LNP068 Marsch der Millionen,https://logbuch-netzpolitik.de/lnp068-marsch-der-millionen,669,2013-06-18T13:35:51+02:00,done,podlove,2026-06-14T00:32:53+00:00
69,LNP069 Räume für Spezialbehandlung,https://logbuch-netzpolitik.de/lnp069-raeume-fuer-spezialbehandlung,695,2013-06-27T13:31:47+02:00,done,podlove,2026-06-14T00:32:53+00:00
70,LNP070 Loben und Strafen,https://logbuch-netzpolitik.de/lnp070-loben-und-strafen,707,2013-07-03T13:22:27+02:00,done,podlove,2026-06-14T00:32:53+00:00
71,LNP071 Schönes Land haben Sie da,https://logbuch-netzpolitik.de/lnp071-schoenes-land-haben-sie-da,739,2013-07-12T17:28:40+02:00,done,podlove,2026-06-14T00:32:53+00:00
72,LNP072 Innenpolitischer Tritonus,https://logbuch-netzpolitik.de/lnp072-innenpolitischer-tritonus,750,2013-07-17T19:47:50+02:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
73,LNP073 Wimpel im Wind,https://logbuch-netzpolitik.de/lnp073-wimpel-im-wind,764,2013-07-24T21:49:31+02:00,done,podlove,2026-06-14T00:32:53+00:00
74,LNP074 Politische Reise nach Jerusalem,https://logbuch-netzpolitik.de/lnp074-politische-reise-nach-jerusalem,778,2013-08-09T10:03:42+02:00,done,podlove,2026-06-14T00:32:53+00:00
75,LNP075 Blick in die Schüssel,https://logbuch-netzpolitik.de/lnp075-blick-in-die-schuessel,786,2013-08-14T12:54:26+02:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
76,LNP076 Moll,https://logbuch-netzpolitik.de/lnp076-moll,793,2013-08-22T13:29:33+02:00,no_transcript,podlove,2026-06-14T00:32:53+00:00
77,LNP077 Alles überprüft,https://logbuch-netzpolitik.de/lnp077-alles-ueberprueft,801,2013-08-30T15:09:40+02:00,done,podlove,2026-06-14T00:32:53+00:00
78,LNP078 Bugdoor,https://logbuch-netzpolitik.de/lnp078-bugdoor,807,2013-09-11T21:16:56+02:00,done,podlove,2026-06-14T00:32:53+00:00
79,LNP079 Lass uns nochmal über den Preis reden,https://logbuch-netzpolitik.de/lnp079-lass-uns-nochmal-ueber-den-preis-reden,814,2013-09-20T12:01:31+02:00,done,podlove,2026-06-14T00:32:53+00:00
80,LNP080 Digitaler Klimawandel,https://logbuch-netzpolitik.de/lnp080-digitaler-klimawandel,820,2013-09-28T20:57:39+02:00,done,podlove,2026-06-14T00:32:53+00:00
81,LNP081 Top Silkroader! Gerne wieder!,https://logbuch-netzpolitik.de/lnp081-top-silkroader-gerne-wieder,828,2013-10-12T21:21:40+02:00,done,podlove,2026-06-14T00:32:53+00:00
82,LNP082 Koalitionspflaume,https://logbuch-netzpolitik.de/lnp082-koalitionspflaume,834,2013-10-23T12:55:44+02:00,done,podlove,2026-06-14T00:32:53+00:00
83,LNP083 500 Millionen Kommunikationen,https://logbuch-netzpolitik.de/lnp083-500-millionen-kommunikationen,841,2013-10-31T14:46:38+01:00,done,podlove,2026-06-14T00:32:53+00:00
